"brand","name","box","product","taras","paper","vmr","Loai","arrival_date","inbound_code"
BRIKENSTOCK,Birkens Gold Coast NT,1,0,3,0,0,-,"2026-07-18",I-1000501679-001
BRIKENSTOCK,Birkens Gold Coast NT,5,46,0,0,0,-,"2026-07-18",I-1000501691-001
BRIKENSTOCK,Birkenstock Centre Hà Nội,25,245,0,0,0,-,"2026-07-11",I-1000499455-001
BRIKENSTOCK,Birkenstock Centre Hà Nội,3,37,0,0,0,-,"2026-07-18",I-1000501901-001
BRIKENSTOCK,Birkenstock Centre Hà Nội,1,0,4,0,0,-,"2026-07-18",I-1000501902-001
BRIKENSTOCK,Birkenstock Crescent Mall,7,56,0,0,0,-,"2026-07-15",I-1000501770-001
BRIKENSTOCK,Birkenstock Lotte Tây Hồ,6,63,0,0,0,KCL,"2026-07-11",I-1000499578-001
BRIKENSTOCK,Birkenstock Lotte Tây Hồ,3,49,0,0,0,-,,I-1000501773-001
BRIKENSTOCK,Birkenstock Sài Gòn Centre,4,28,0,0,0,có 1 mã lệch qua lại,"2026-07-15",I-1000501900-001
BRIKENSTOCK,Birkenstock Vincom Đồng Khởi,2,14,0,0,0,-,"2026-07-15",I-1000501921-001
BRIKENSTOCK,Birkenstock Vạn Hạnh,3,33,0,0,0,-,"2026-07-15",I-1000501890-001
CK,CK Biên Hòa,2,0,0,343,0,CK-ESSKRAFTL=20;CK-ESSKRAFTM=51;CK-ESSKRAFTS=272,"2026-07-11",I-1000500625-001
CK,CK Biên Hòa,11,167,0,0,0,-,"2026-07-18",I-1000503115-001
CK,CK BÌNH DƯƠNG,34,472,0,0,0,-,,I-1000500759-001
CK,CK BÌNH DƯƠNG,2,15,0,0,0,-,,I-1000500757-001
CK,CK BÌNH DƯƠNG,3,0,0,450,0,CK-ESSKRAFTL = 68;CK-ESSKRAFTM = 119;CK-ESSKRAFTS = 263,,I-1000500758-001
CK,CK BÌNH DƯƠNG,14,172,0,0,0,-,,I-1000503147-001
CK,CK BÌNH TÂN,1,14,0,0,0,-,"2026-07-10",I-1000500187-001
CK,CK BÌNH TÂN,36,509,0,0,0,-,"2026-07-10",I-1000500626-001
CK,CK BÌNH TÂN,4,0,0,622,0,CK-ESSKRAFTL=37;CK-ESSKRAFTM=121;CK-ESSKRAFTS=464,"2026-07-10",I-1000500624-001
CK,CK BÌNH TÂN,8,147,0,0,0,-,"2026-07-17",I-1000502683-001
CK,CK Crescent Mall,1,3,0,0,0,-,"2026-07-10",I-1000500565-001
CK,CK Crescent Mall,35,547,0,0,0,-,"2026-07-10",I-1000500573-001
CK,CK Crescent Mall,7,162,0,0,0,-,"2026-07-17",I-1000502776-001
CK,CK HÙNG VƯƠNG,1,1,0,0,0,-,"2026-07-10",I-1000500610-001
CK,CK HÙNG VƯƠNG,12,178,0,0,0,-,"2026-07-17",I-1000502986-001
CK,CK Kiên Giang,14,231,0,0,0,kiểm kê 21.7,"2026-07-15",I-1000501321-001
CK,CK Kiên Giang,3,0,0,335,0,CK-ESSKRAFTL=40;CK-ESSKRAFTM=74;CK-ESSKRAFTS=192;ESSKRAFTL=29,"2026-07-15",I-1000501352-001
CK,CK Kiên Giang,1,0,1,0,0,kiểm kê 21.7,"2026-07-15",I-1000501353-001
